
time 02h 51m 36s, episodes 19523, frames 14.0M, mean epr 201.45, run loss 55.45

	14M frames: saved model

time 02h 52m 36s, episodes 19638, frames 14.1M, mean epr 188.52, run loss 53.34
time 02h 53m 36s, episodes 19756, frames 14.2M, mean epr 180.30, run loss 47.44
time 02h 54m 36s, episodes 19870, frames 14.2M, mean epr 183.34, run loss 47.41
time 02h 55m 36s, episodes 19984, frames 14.3M, mean epr 196.15, run loss 50.22
time 03h 02m 28s, episodes 20679, frames 14.8M, mean epr 221.60, run loss 57.89
time 03h 03m 28s, episodes 20785, frames 14.9M, mean epr 227.32, run loss 49.93
time 03h 04m 28s, episodes 20901, frames 15.0M, mean epr 214.20, run loss 51.02
time 03h 05m 28s, episodes 21010, frames 15.1M, mean epr 212.16, run loss 55.87
time 03h 06m 28s, episodes 21121, frames 15.2M, mean epr 214.40, run loss 51.91
time 03h 07m 28s, episodes 21235, frames 15.3M, mean epr 218.31, run loss 51.15
time 03h 08m 28s, episodes 21348, frames 15.3M, mean epr 221.17, run loss 54.16
time 03h 09m 28s, episodes 21461, frames 15.4M, mean epr 210.84, run loss 56.35
time 03h 10m 28s, episodes 21576, frames 15.5M, mean epr 210.69, run loss 49.47
time 03h 11m 28s, episodes 21696, frames 15.6M, mean epr 207.29, run loss 44.54
time 03h 12m 28s, episodes 21810, frames 15.7M, mean epr 211.20, run loss 49.67
time 03h 13m 28s, episodes 21924, frames 15.8M, mean epr 220.50, run loss 56.75
time 03h 14m 28s, episodes 22039, frames 15.8M, mean epr 202.80, run loss 45.93
time 03h 15m 38s, episodes 22175, frames 15.9M, mean epr 204.01, run loss 46.88

	16M frames: saved model

time 03h 16m 38s, episodes 22290, frames 16.0M, mean epr 210.78, run loss 48.76
time 03h 17m 38s, episodes 22404, frames 16.1M, mean epr 219.33, run loss 48.00
time 03h 18m 38s, episodes 22516, frames 16.2M, mean epr 228.20, run loss 54.31
time 03h 19m 38s, episodes 22625, frames 16.3M, mean epr 227.61, run loss 54.53
time 03h 20m 38s, episodes 22738, frames 16.4M, mean epr 226.95, run loss 49.26
time 03h 21m 38s, episodes 22855, frames 16.4M, mean epr 210.32, run loss 45.96
time 03h 22m 38s, episodes 22971, frames 16.5M, mean epr 195.64, run loss 45.02
time 03h 23m 38s, episodes 23083, frames 16.6M, mean epr 213.35, run loss 52.70
time 03h 24m 38s, episodes 23200, frames 16.7M, mean epr 206.71, run loss 50.34
time 03h 25m 38s, episodes 23313, frames 16.8M, mean epr 207.49, run loss 47.34
time 03h 26m 38s, episodes 23418, frames 16.9M, mean epr 228.25, run loss 58.23
time 03h 27m 39s, episodes 23527, frames 16.9M, mean epr 223.93, run loss 57.99
time 03h 28m 40s, episodes 23644, frames 17.0M, mean epr 215.58, run loss 50.94
time 03h 29m 40s, episodes 23756, frames 17.1M, mean epr 216.87, run loss 52.09
time 03h 30m 40s, episodes 23867, frames 17.2M, mean epr 226.66, run loss 54.16
time 03h 31m 40s, episodes 23985, frames 17.3M, mean epr 204.10, run loss 48.33
time 03h 32m 40s, episodes 24091, frames 17.4M, mean epr 235.65, run loss 57.66
time 03h 33m 40s, episodes 24204, frames 17.4M, mean epr 221.92, run loss 49.68
time 03h 34m 40s, episodes 24315, frames 17.5M, mean epr 227.74, run loss 54.65
time 03h 35m 40s, episodes 24424, frames 17.6M, mean epr 227.28, run loss 52.62
time 03h 36m 40s, episodes 24534, frames 17.7M, mean epr 225.30, run loss 54.92
time 03h 37m 40s, episodes 24655, frames 17.8M, mean epr 200.60, run loss 46.44
time 03h 38m 40s, episodes 24768, frames 17.9M, mean epr 221.01, run loss 50.03
time 03h 39m 40s, episodes 24880, frames 17.9M, mean epr 219.70, run loss 52.75

	18M frames: saved model

time 03h 40m 40s, episodes 24995, frames 18.0M, mean epr 227.32, run loss 52.41
