
time 01h 33m 32s, episodes 59084, frames 1.8M, mean epr 1.64, run loss 171.59, shares of one box (0.90), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 34m 32s, episodes 59735, frames 1.9M, mean epr 1.50, run loss 172.39, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 35m 32s, episodes 60397, frames 1.9M, mean epr 1.59, run loss 176.57, shares of one box (0.91), two boxes (0.66) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 36m 33s, episodes 61045, frames 1.9M, mean epr 1.47, run loss 169.15, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 37m 33s, episodes 61707, frames 1.9M, mean epr 1.67, run loss 178.51, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 38m 33s, episodes 62366, frames 2.0M, mean epr 1.56, run loss 168.26, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 39m 34s, episodes 63020, frames 2.0M, mean epr 1.62, run loss 185.42, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 40m 34s, episodes 63674, frames 2.0M, mean epr 1.47, run loss 171.66, shares of one box (0.92), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0

	2M frames: saved model

time 01h 41m 34s, episodes 64330, frames 2.0M, mean epr 1.84, run loss 170.22, shares of one box (0.91), two boxes (0.64) and three boxes(0.31) pushed on target, difficulty: 4.0
time 01h 42m 35s, episodes 64979, frames 2.0M, mean epr 1.67, run loss 178.70, shares of one box (0.90), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 43m 35s, episodes 65629, frames 2.1M, mean epr 1.44, run loss 184.98, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 44m 35s, episodes 66276, frames 2.1M, mean epr 1.29, run loss 171.96, shares of one box (0.90), two boxes (0.63) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 45m 35s, episodes 66895, frames 2.1M, mean epr 1.41, run loss 174.79, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 46m 36s, episodes 67471, frames 2.1M, mean epr 1.48, run loss 179.63, shares of one box (0.90), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 47m 36s, episodes 68095, frames 2.1M, mean epr 1.58, run loss 186.08, shares of one box (0.91), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 48m 36s, episodes 68725, frames 2.2M, mean epr 1.53, run loss 187.59, shares of one box (0.91), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 49m 36s, episodes 69366, frames 2.2M, mean epr 1.74, run loss 194.48, shares of one box (0.91), two boxes (0.64) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 50m 36s, episodes 69993, frames 2.2M, mean epr 1.69, run loss 188.62, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 51m 36s, episodes 70619, frames 2.2M, mean epr 1.57, run loss 181.03, shares of one box (0.92), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 52m 37s, episodes 71255, frames 2.2M, mean epr 1.70, run loss 178.63, shares of one box (0.93), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 53m 37s, episodes 71877, frames 2.2M, mean epr 1.66, run loss 178.33, shares of one box (0.92), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 54m 38s, episodes 72514, frames 2.3M, mean epr 1.61, run loss 176.87, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 55m 38s, episodes 73164, frames 2.3M, mean epr 1.63, run loss 179.96, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 56m 38s, episodes 73829, frames 2.3M, mean epr 1.53, run loss 172.22, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 57m 38s, episodes 74487, frames 2.3M, mean epr 1.63, run loss 181.14, shares of one box (0.92), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 58m 38s, episodes 75141, frames 2.4M, mean epr 1.39, run loss 173.38, shares of one box (0.91), two boxes (0.66) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 59m 38s, episodes 75797, frames 2.4M, mean epr 1.44, run loss 183.43, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
