
time 01h 53m 07s, episodes 2346, frames 7.2M, mean epr -1.60, run loss -53.67
time 01h 54m 07s, episodes 2357, frames 7.3M, mean epr -1.45, run loss -53.30
time 01h 55m 07s, episodes 2367, frames 7.4M, mean epr -1.25, run loss -53.62
time 01h 56m 07s, episodes 2378, frames 7.4M, mean epr -1.20, run loss -55.46
time 01h 57m 07s, episodes 2390, frames 7.5M, mean epr -0.90, run loss -55.63
time 01h 58m 07s, episodes 2402, frames 7.6M, mean epr -0.66, run loss -55.30
time 01h 59m 07s, episodes 2410, frames 7.6M, mean epr -0.70, run loss -58.02
time 02h 00m 07s, episodes 2424, frames 7.7M, mean epr -0.67, run loss -58.27
time 02h 01m 07s, episodes 2434, frames 7.8M, mean epr -0.53, run loss -55.34
time 02h 02m 07s, episodes 2442, frames 7.8M, mean epr -0.39, run loss -57.30
time 02h 03m 07s, episodes 2451, frames 7.9M, mean epr -0.07, run loss -57.66
time 02h 04m 07s, episodes 2465, frames 8.0M, mean epr 0.21, run loss -59.66

	8M frames: saved model

time 02h 05m 08s, episodes 2471, frames 8.0M, mean epr 0.53, run loss -57.51
time 02h 06m 08s, episodes 2483, frames 8.1M, mean epr 0.89, run loss -60.68
time 02h 07m 08s, episodes 2492, frames 8.1M, mean epr 1.24, run loss -59.93
time 02h 08m 08s, episodes 2503, frames 8.2M, mean epr 1.56, run loss -61.00
time 02h 09m 08s, episodes 2512, frames 8.3M, mean epr 1.61, run loss -61.14
time 02h 10m 08s, episodes 2522, frames 8.3M, mean epr 1.76, run loss -61.99
time 02h 11m 08s, episodes 2534, frames 8.4M, mean epr 1.71, run loss -64.43
time 02h 12m 08s, episodes 2543, frames 8.5M, mean epr 1.79, run loss -63.34
time 02h 13m 08s, episodes 2553, frames 8.5M, mean epr 1.95, run loss -64.32
time 02h 14m 08s, episodes 2563, frames 8.6M, mean epr 2.33, run loss -63.25
time 02h 15m 08s, episodes 2575, frames 8.7M, mean epr 2.21, run loss -64.72
time 02h 16m 08s, episodes 2584, frames 8.7M, mean epr 2.44, run loss -63.52
time 02h 17m 08s, episodes 2595, frames 8.8M, mean epr 2.71, run loss -64.32
time 02h 18m 09s, episodes 2607, frames 8.9M, mean epr 2.89, run loss -66.66
time 02h 19m 09s, episodes 2615, frames 8.9M, mean epr 2.83, run loss -67.00
time 02h 20m 09s, episodes 2628, frames 9.0M, mean epr 2.73, run loss -64.68
time 02h 21m 09s, episodes 2639, frames 9.1M, mean epr 2.85, run loss -65.40
time 02h 22m 09s, episodes 2646, frames 9.1M, mean epr 2.93, run loss -64.52
time 02h 23m 09s, episodes 2660, frames 9.2M, mean epr 3.23, run loss -64.98
time 02h 24m 09s, episodes 2668, frames 9.2M, mean epr 3.26, run loss -66.25
time 02h 25m 09s, episodes 2677, frames 9.3M, mean epr 3.27, run loss -64.56
time 02h 26m 09s, episodes 2689, frames 9.4M, mean epr 3.16, run loss -65.44
time 02h 27m 09s, episodes 2698, frames 9.4M, mean epr 3.36, run loss -64.94
time 02h 28m 09s, episodes 2709, frames 9.5M, mean epr 3.39, run loss -67.62
time 02h 29m 10s, episodes 2722, frames 9.6M, mean epr 3.67, run loss -65.50
time 02h 30m 10s, episodes 2734, frames 9.6M, mean epr 3.72, run loss -65.25
time 02h 31m 10s, episodes 2742, frames 9.7M, mean epr 3.58, run loss -65.36
time 02h 32m 10s, episodes 2753, frames 9.8M, mean epr 3.75, run loss -63.60
time 02h 33m 10s, episodes 2766, frames 9.8M, mean epr 3.76, run loss -63.12
time 02h 34m 10s, episodes 2775, frames 9.9M, mean epr 3.87, run loss -63.19
time 02h 35m 10s, episodes 2786, frames 9.9M, mean epr 4.12, run loss -64.16

	10M frames: saved model

time 02h 36m 10s, episodes 2796, frames 10.0M, mean epr 4.10, run loss -65.58
time 02h 37m 10s, episodes 2806, frames 10.1M, mean epr 4.25, run loss -63.39
time 02h 38m 10s, episodes 2815, frames 10.1M, mean epr 4.35, run loss -65.22
time 02h 39m 10s, episodes 2826, frames 10.2M, mean epr 4.43, run loss -66.87
time 02h 40m 10s, episodes 2839, frames 10.3M, mean epr 4.61, run loss -67.11
time 02h 41m 10s, episodes 2848, frames 10.3M, mean epr 4.77, run loss -64.86
time 02h 42m 10s, episodes 2858, frames 10.4M, mean epr 4.46, run loss -69.46
time 02h 43m 10s, episodes 2867, frames 10.5M, mean epr 4.42, run loss -68.34
time 02h 44m 10s, episodes 2877, frames 10.5M, mean epr 4.36, run loss -68.18
time 02h 45m 10s, episodes 2889, frames 10.6M, mean epr 4.37, run loss -67.54
time 02h 46m 10s, episodes 2901, frames 10.7M, mean epr 3.85, run loss -70.71
time 02h 47m 10s, episodes 2911, frames 10.7M, mean epr 3.63, run loss -68.01
time 02h 48m 10s, episodes 2920, frames 10.8M, mean epr 3.88, run loss -67.89
time 02h 49m 11s, episodes 2930, frames 10.8M, mean epr 3.99, run loss -67.08
time 02h 50m 11s, episodes 2940, frames 10.9M, mean epr 4.11, run loss -68.27
time 02h 51m 11s, episodes 2950, frames 11.0M, mean epr 4.06, run loss -67.94
time 02h 52m 11s, episodes 2962, frames 11.0M, mean epr 3.68, run loss -67.86
time 02h 53m 11s, episodes 2970, frames 11.1M, mean epr 3.77, run loss -68.31
time 02h 54m 11s, episodes 2981, frames 11.2M, mean epr 3.81, run loss -68.42
time 02h 55m 11s, episodes 2991, frames 11.2M, mean epr 3.83, run loss -67.99
time 02h 56m 11s, episodes 3000, frames 11.3M, mean epr 3.64, run loss -69.33
time 02h 57m 11s, episodes 3012, frames 11.4M, mean epr 3.75, run loss -71.14
time 02h 58m 11s, episodes 3021, frames 11.4M, mean epr 3.75, run loss -71.21
time 02h 59m 11s, episodes 3030, frames 11.5M, mean epr 3.79, run loss -71.85
time 03h 00m 11s, episodes 3043, frames 11.6M, mean epr 3.71, run loss -73.55
time 03h 01m 11s, episodes 3052, frames 11.6M, mean epr 3.80, run loss -74.42
time 03h 02m 11s, episodes 3063, frames 11.7M, mean epr 4.16, run loss -72.84
time 03h 03m 11s, episodes 3075, frames 11.8M, mean epr 4.30, run loss -70.75
time 03h 04m 11s, episodes 3083, frames 11.8M, mean epr 4.36, run loss -69.82
time 03h 05m 11s, episodes 3092, frames 11.9M, mean epr 4.48, run loss -69.73
time 03h 06m 12s, episodes 3105, frames 11.9M, mean epr 4.12, run loss -72.49

	12M frames: saved model

time 03h 07m 12s, episodes 3114, frames 12.0M, mean epr 4.27, run loss -71.97
time 03h 08m 12s, episodes 3123, frames 12.1M, mean epr 4.22, run loss -73.46
time 03h 09m 12s, episodes 3136, frames 12.1M, mean epr 4.58, run loss -72.32
time 03h 10m 12s, episodes 3147, frames 12.2M, mean epr 4.92, run loss -71.20
time 03h 11m 12s, episodes 3157, frames 12.3M, mean epr 5.29, run loss -71.18
time 03h 12m 12s, episodes 3170, frames 12.3M, mean epr 5.48, run loss -72.03
time 03h 13m 12s, episodes 3179, frames 12.4M, mean epr 5.69, run loss -70.15
time 03h 14m 12s, episodes 3191, frames 12.5M, mean epr 5.45, run loss -69.85
time 03h 15m 12s, episodes 3201, frames 12.5M, mean epr 5.28, run loss -72.12
time 03h 16m 12s, episodes 3211, frames 12.6M, mean epr 5.30, run loss -71.68
time 03h 17m 12s, episodes 3224, frames 12.6M, mean epr 5.30, run loss -69.63
time 03h 18m 12s, episodes 3235, frames 12.7M, mean epr 5.43, run loss -71.39
time 03h 19m 12s, episodes 3243, frames 12.8M, mean epr 5.56, run loss -70.62
time 03h 20m 12s, episodes 3256, frames 12.8M, mean epr 5.51, run loss -70.49
time 03h 21m 12s, episodes 3267, frames 12.9M, mean epr 5.51, run loss -71.16
time 03h 22m 13s, episodes 3276, frames 13.0M, mean epr 5.59, run loss -69.38
time 03h 23m 13s, episodes 3287, frames 13.0M, mean epr 5.48, run loss -69.68
time 03h 24m 13s, episodes 3300, frames 13.1M, mean epr 5.56, run loss -68.96
time 03h 25m 13s, episodes 3309, frames 13.2M, mean epr 5.39, run loss -69.46
time 03h 26m 13s, episodes 3320, frames 13.2M, mean epr 5.49, run loss -67.07
time 03h 27m 13s, episodes 3331, frames 13.3M, mean epr 5.26, run loss -68.24
time 03h 28m 13s, episodes 3342, frames 13.4M, mean epr 5.37, run loss -67.56
time 03h 29m 13s, episodes 3352, frames 13.4M, mean epr 5.53, run loss -66.46
time 03h 30m 13s, episodes 3361, frames 13.5M, mean epr 5.47, run loss -65.83
time 03h 31m 13s, episodes 3373, frames 13.6M, mean epr 5.28, run loss -68.28
time 03h 32m 14s, episodes 3385, frames 13.6M, mean epr 4.92, run loss -72.25
time 03h 33m 14s, episodes 3394, frames 13.7M, mean epr 4.97, run loss -69.40
time 03h 34m 14s, episodes 3406, frames 13.7M, mean epr 5.23, run loss -69.26
time 03h 35m 14s, episodes 3417, frames 13.8M, mean epr 5.31, run loss -67.08
time 03h 36m 14s, episodes 3426, frames 13.9M, mean epr 5.39, run loss -67.46
time 03h 37m 14s, episodes 3438, frames 13.9M, mean epr 5.51, run loss -68.52

	14M frames: saved model

time 03h 38m 14s, episodes 3449, frames 14.0M, mean epr 5.57, run loss -68.95
time 03h 39m 14s, episodes 3459, frames 14.1M, mean epr 5.79, run loss -66.90
time 03h 40m 14s, episodes 3471, frames 14.1M, mean epr 5.78, run loss -69.76
time 03h 41m 14s, episodes 3484, frames 14.2M, mean epr 5.61, run loss -70.35
time 03h 42m 14s, episodes 3491, frames 14.3M, mean epr 5.79, run loss -68.52
time 03h 43m 14s, episodes 3505, frames 14.3M, mean epr 5.74, run loss -68.31
time 03h 44m 14s, episodes 3519, frames 14.4M, mean epr 5.20, run loss -69.75
time 03h 45m 14s, episodes 3529, frames 14.5M, mean epr 5.52, run loss -64.39
time 03h 46m 14s, episodes 3538, frames 14.5M, mean epr 5.60, run loss -65.66
time 03h 47m 14s, episodes 3552, frames 14.6M, mean epr 5.82, run loss -67.11
time 03h 48m 14s, episodes 3564, frames 14.6M, mean epr 6.04, run loss -64.53
time 03h 49m 14s, episodes 3574, frames 14.7M, mean epr 5.74, run loss -66.74
time 03h 50m 14s, episodes 3585, frames 14.8M, mean epr 5.83, run loss -65.64
time 03h 51m 15s, episodes 3596, frames 14.8M, mean epr 5.89, run loss -65.58
time 03h 52m 15s, episodes 3606, frames 14.9M, mean epr 5.93, run loss -66.96
time 03h 53m 15s, episodes 3618, frames 15.0M, mean epr 5.72, run loss -68.28
time 03h 54m 15s, episodes 3628, frames 15.0M, mean epr 5.79, run loss -68.79
time 03h 55m 15s, episodes 3639, frames 15.1M, mean epr 5.61, run loss -69.37
time 03h 56m 15s, episodes 3646, frames 15.2M, mean epr 5.57, run loss -70.34
time 03h 57m 15s, episodes 3658, frames 15.2M, mean epr 5.67, run loss -70.14
time 03h 58m 15s, episodes 3671, frames 15.3M, mean epr 5.75, run loss -70.96
time 03h 59m 15s, episodes 3677, frames 15.4M, mean epr 5.78, run loss -71.58
time 04h 00m 15s, episodes 3690, frames 15.4M, mean epr 5.91, run loss -71.64
time 04h 01m 15s, episodes 3702, frames 15.5M, mean epr 5.86, run loss -71.20
time 04h 02m 15s, episodes 3712, frames 15.5M, mean epr 5.98, run loss -71.14
time 04h 03m 15s, episodes 3724, frames 15.6M, mean epr 6.19, run loss -71.93
time 04h 04m 15s, episodes 3735, frames 15.7M, mean epr 6.25, run loss -73.08
time 04h 05m 16s, episodes 3748, frames 15.7M, mean epr 6.57, run loss -70.52
time 04h 06m 16s, episodes 3760, frames 15.8M, mean epr 6.87, run loss -70.60
time 04h 07m 16s, episodes 3770, frames 15.9M, mean epr 6.97, run loss -68.42
time 04h 08m 16s, episodes 3780, frames 15.9M, mean epr 6.89, run loss -68.39
time 04h 09m 16s, episodes 3794, frames 16.0M, mean epr 6.71, run loss -69.90

	16M frames: saved model

time 04h 10m 16s, episodes 3804, frames 16.1M, mean epr 6.73, run loss -70.20
time 04h 11m 16s, episodes 3813, frames 16.1M, mean epr 6.67, run loss -70.49
time 04h 12m 16s, episodes 3826, frames 16.2M, mean epr 6.56, run loss -71.16
time 04h 13m 16s, episodes 3836, frames 16.3M, mean epr 6.54, run loss -72.10
time 04h 14m 16s, episodes 3847, frames 16.3M, mean epr 6.67, run loss -72.51
time 04h 15m 17s, episodes 3859, frames 16.4M, mean epr 6.59, run loss -72.04
time 04h 16m 17s, episodes 3869, frames 16.4M, mean epr 6.70, run loss -71.58
time 04h 17m 17s, episodes 3883, frames 16.5M, mean epr 6.40, run loss -73.81
time 04h 18m 17s, episodes 3893, frames 16.6M, mean epr 6.41, run loss -73.38
time 04h 19m 17s, episodes 3903, frames 16.6M, mean epr 6.39, run loss -70.35
time 04h 20m 17s, episodes 3917, frames 16.7M, mean epr 6.26, run loss -71.70
time 04h 21m 17s, episodes 3925, frames 16.8M, mean epr 6.24, run loss -72.14
time 04h 22m 17s, episodes 3936, frames 16.8M, mean epr 6.45, run loss -71.25
time 04h 23m 17s, episodes 3949, frames 16.9M, mean epr 6.42, run loss -72.99
time 04h 24m 17s, episodes 3958, frames 17.0M, mean epr 6.40, run loss -73.10
time 04h 25m 17s, episodes 3969, frames 17.0M, mean epr 6.31, run loss -72.37
time 04h 26m 17s, episodes 3982, frames 17.1M, mean epr 6.13, run loss -72.11
time 04h 27m 17s, episodes 3992, frames 17.2M, mean epr 6.22, run loss -70.50
time 04h 28m 17s, episodes 4002, frames 17.2M, mean epr 5.99, run loss -71.41
time 04h 29m 17s, episodes 4015, frames 17.3M, mean epr 5.85, run loss -72.51
time 04h 30m 17s, episodes 4026, frames 17.3M, mean epr 6.21, run loss -69.28
time 04h 31m 17s, episodes 4040, frames 17.4M, mean epr 6.17, run loss -67.44
time 04h 32m 17s, episodes 4049, frames 17.5M, mean epr 6.30, run loss -67.70
time 04h 33m 17s, episodes 4060, frames 17.5M, mean epr 6.07, run loss -71.13
time 04h 34m 17s, episodes 4073, frames 17.6M, mean epr 6.22, run loss -70.97
time 04h 35m 17s, episodes 4082, frames 17.7M, mean epr 6.19, run loss -71.73
time 04h 36m 17s, episodes 4094, frames 17.7M, mean epr 6.19, run loss -70.93
time 04h 37m 17s, episodes 4107, frames 17.8M, mean epr 6.31, run loss -69.32
time 04h 38m 18s, episodes 4117, frames 17.9M, mean epr 6.51, run loss -69.98
time 04h 39m 18s, episodes 4129, frames 17.9M, mean epr 6.63, run loss -70.77
time 04h 40m 18s, episodes 4140, frames 18.0M, mean epr 6.77, run loss -69.77

	18M frames: saved model

time 04h 41m 18s, episodes 4152, frames 18.1M, mean epr 6.88, run loss -69.89
time 04h 42m 18s, episodes 4164, frames 18.1M, mean epr 7.08, run loss -70.42
time 04h 43m 18s, episodes 4176, frames 18.2M, mean epr 7.17, run loss -70.13
time 04h 44m 18s, episodes 4185, frames 18.2M, mean epr 7.10, run loss -69.43
time 04h 45m 18s, episodes 4199, frames 18.3M, mean epr 7.16, run loss -70.31
time 04h 46m 18s, episodes 4210, frames 18.4M, mean epr 7.33, run loss -69.84
time 04h 47m 18s, episodes 4220, frames 18.4M, mean epr 7.31, run loss -71.73
time 04h 48m 18s, episodes 4233, frames 18.5M, mean epr 7.44, run loss -70.65
time 04h 49m 18s, episodes 4244, frames 18.6M, mean epr 7.57, run loss -70.76
time 04h 50m 18s, episodes 4254, frames 18.6M, mean epr 7.65, run loss -70.75
time 04h 51m 18s, episodes 4267, frames 18.7M, mean epr 7.86, run loss -70.56
time 04h 52m 18s, episodes 4280, frames 18.8M, mean epr 7.86, run loss -70.76
time 04h 53m 19s, episodes 4292, frames 18.8M, mean epr 8.15, run loss -68.70
time 04h 54m 19s, episodes 4302, frames 18.9M, mean epr 8.19, run loss -70.37
time 04h 55m 19s, episodes 4313, frames 19.0M, mean epr 8.09, run loss -69.82
time 04h 56m 19s, episodes 4328, frames 19.0M, mean epr 8.11, run loss -71.10
time 04h 57m 19s, episodes 4338, frames 19.1M, mean epr 7.93, run loss -71.37
time 04h 58m 19s, episodes 4349, frames 19.1M, mean epr 7.74, run loss -73.05
time 04h 59m 19s, episodes 4361, frames 19.2M, mean epr 7.98, run loss -69.41
time 05h 00m 19s, episodes 4374, frames 19.3M, mean epr 7.98, run loss -69.26
time 05h 01m 19s, episodes 4385, frames 19.3M, mean epr 7.83, run loss -69.62
time 05h 02m 19s, episodes 4395, frames 19.4M, mean epr 7.65, run loss -70.86
time 05h 03m 19s, episodes 4408, frames 19.5M, mean epr 7.84, run loss -69.35
time 05h 04m 19s, episodes 4420, frames 19.5M, mean epr 7.63, run loss -71.81
time 05h 05m 20s, episodes 4431, frames 19.6M, mean epr 7.81, run loss -69.88
time 05h 06m 20s, episodes 4442, frames 19.7M, mean epr 7.98, run loss -69.90
time 05h 07m 20s, episodes 4456, frames 19.7M, mean epr 8.19, run loss -70.27
time 05h 08m 20s, episodes 4466, frames 19.8M, mean epr 8.22, run loss -71.16
time 05h 09m 20s, episodes 4477, frames 19.8M, mean epr 8.35, run loss -70.33
time 05h 10m 20s, episodes 4489, frames 19.9M, mean epr 8.05, run loss -71.38
time 05h 11m 20s, episodes 4502, frames 20.0M, mean epr 8.19, run loss -70.34

	20M frames: saved model

time 00h 32m 01s, episodes 357, frames 20.0M, mean epr 8.25, run loss -66.61
time 00h 33m 02s, episodes 370, frames 20.1M, mean epr 8.36, run loss -65.68
time 00h 34m 02s, episodes 379, frames 20.2M, mean epr 8.44, run loss -66.44
time 00h 35m 02s, episodes 393, frames 20.2M, mean epr 8.35, run loss -68.53
time 00h 36m 02s, episodes 403, frames 20.3M, mean epr 8.27, run loss -68.25
time 00h 37m 02s, episodes 412, frames 20.4M, mean epr 8.33, run loss -67.93
time 00h 38m 02s, episodes 426, frames 20.4M, mean epr 8.41, run loss -70.56
time 00h 39m 02s, episodes 439, frames 20.5M, mean epr 8.57, run loss -70.71
time 00h 40m 02s, episodes 452, frames 20.5M, mean epr 8.80, run loss -68.01
time 00h 41m 02s, episodes 463, frames 20.6M, mean epr 8.79, run loss -68.21
time 00h 42m 02s, episodes 477, frames 20.7M, mean epr 8.87, run loss -68.68
time 00h 43m 03s, episodes 487, frames 20.7M, mean epr 8.89, run loss -68.26
