
time 03h 22m 19s, episodes 104765, frames 15.6M, mean epr -14.57, run loss 32.77
time 03h 23m 19s, episodes 105278, frames 15.7M, mean epr -14.45, run loss 32.70
time 03h 24m 19s, episodes 105795, frames 15.8M, mean epr -14.28, run loss 39.75
time 03h 25m 19s, episodes 106302, frames 15.8M, mean epr -14.50, run loss 41.23
time 03h 26m 19s, episodes 106825, frames 15.9M, mean epr -14.55, run loss 51.24

	16M frames: saved model

time 03h 27m 19s, episodes 107335, frames 16.0M, mean epr -14.57, run loss 42.45
time 03h 28m 20s, episodes 107854, frames 16.1M, mean epr -14.55, run loss 35.02
time 03h 29m 20s, episodes 108361, frames 16.2M, mean epr -14.58, run loss 46.51
time 03h 30m 26s, episodes 108927, frames 16.2M, mean epr -14.59, run loss 50.88
time 03h 31m 26s, episodes 109439, frames 16.3M, mean epr -14.62, run loss 57.09
time 03h 32m 26s, episodes 109960, frames 16.4M, mean epr -14.54, run loss 40.85
time 03h 33m 26s, episodes 110467, frames 16.5M, mean epr -14.61, run loss 37.20
time 03h 34m 26s, episodes 110983, frames 16.5M, mean epr -14.56, run loss 50.19
time 03h 35m 26s, episodes 111499, frames 16.6M, mean epr -14.39, run loss 51.12
time 03h 36m 26s, episodes 112007, frames 16.7M, mean epr -14.28, run loss 58.23
time 03h 37m 30s, episodes 112553, frames 16.8M, mean epr -14.65, run loss 44.69
time 03h 38m 30s, episodes 113071, frames 16.9M, mean epr -14.56, run loss 61.07
time 03h 39m 30s, episodes 113588, frames 16.9M, mean epr -14.42, run loss 76.54
time 03h 40m 30s, episodes 114105, frames 17.0M, mean epr -14.35, run loss 76.70
time 03h 41m 30s, episodes 114627, frames 17.1M, mean epr -14.39, run loss 73.07
time 03h 42m 31s, episodes 115143, frames 17.2M, mean epr -14.48, run loss 73.86
time 03h 43m 32s, episodes 115674, frames 17.2M, mean epr -14.45, run loss 82.63
time 03h 44m 32s, episodes 116196, frames 17.3M, mean epr -14.42, run loss 49.76
time 03h 45m 32s, episodes 116718, frames 17.4M, mean epr -14.61, run loss 58.00
time 03h 46m 32s, episodes 117234, frames 17.5M, mean epr -14.55, run loss 50.64
time 03h 47m 32s, episodes 117748, frames 17.6M, mean epr -14.42, run loss 48.51
time 03h 48m 32s, episodes 118261, frames 17.6M, mean epr -14.62, run loss 41.96
time 03h 49m 32s, episodes 118771, frames 17.7M, mean epr -14.43, run loss 50.71
time 03h 50m 32s, episodes 119293, frames 17.8M, mean epr -14.59, run loss 34.01
time 03h 51m 32s, episodes 119807, frames 17.9M, mean epr -14.36, run loss 40.75
time 03h 52m 32s, episodes 120326, frames 17.9M, mean epr -14.05, run loss 53.13

	18M frames: saved model

time 03h 53m 32s, episodes 120840, frames 18.0M, mean epr -14.64, run loss 53.47
time 03h 54m 33s, episodes 121355, frames 18.1M, mean epr -14.59, run loss 47.00
time 03h 55m 33s, episodes 121872, frames 18.2M, mean epr -14.53, run loss 40.81
time 03h 56m 33s, episodes 122388, frames 18.2M, mean epr -14.62, run loss 53.96
time 03h 57m 33s, episodes 122900, frames 18.3M, mean epr -14.60, run loss 56.29
time 03h 58m 33s, episodes 123418, frames 18.4M, mean epr -14.55, run loss 66.54
time 03h 59m 33s, episodes 123942, frames 18.5M, mean epr -14.33, run loss 53.58
time 04h 00m 33s, episodes 124458, frames 18.6M, mean epr -14.48, run loss 55.29
time 04h 01m 33s, episodes 124980, frames 18.6M, mean epr -14.55, run loss 49.54
time 04h 02m 34s, episodes 125492, frames 18.7M, mean epr -14.61, run loss 53.83
time 04h 03m 34s, episodes 126010, frames 18.8M, mean epr -14.55, run loss 26.61
time 04h 04m 34s, episodes 126534, frames 18.9M, mean epr -14.54, run loss 36.90
time 04h 05m 34s, episodes 127045, frames 18.9M, mean epr -14.53, run loss 36.85
time 04h 06m 34s, episodes 127563, frames 19.0M, mean epr -14.62, run loss 38.36
time 04h 07m 35s, episodes 128083, frames 19.1M, mean epr -14.59, run loss 20.77
time 04h 08m 35s, episodes 128597, frames 19.2M, mean epr -14.45, run loss 23.06
time 04h 09m 36s, episodes 129112, frames 19.2M, mean epr -14.61, run loss 18.34
time 04h 10m 42s, episodes 129677, frames 19.3M, mean epr -14.55, run loss 21.85
time 04h 11m 42s, episodes 130193, frames 19.4M, mean epr -14.56, run loss 12.67
time 04h 12m 42s, episodes 130715, frames 19.5M, mean epr -14.19, run loss 20.25
time 04h 13m 42s, episodes 131233, frames 19.6M, mean epr -14.44, run loss 21.46
time 04h 14m 42s, episodes 131743, frames 19.6M, mean epr -14.64, run loss 18.81
time 04h 15m 42s, episodes 132271, frames 19.7M, mean epr -14.54, run loss 33.83
time 04h 16m 42s, episodes 132774, frames 19.8M, mean epr -14.62, run loss 42.65
time 04h 17m 43s, episodes 133298, frames 19.9M, mean epr -14.61, run loss 40.59
time 04h 18m 43s, episodes 133809, frames 19.9M, mean epr -14.44, run loss 44.04

	20M frames: saved model

time 04h 19m 43s, episodes 134331, frames 20.0M, mean epr -14.55, run loss 41.25
time 04h 20m 43s, episodes 134850, frames 20.1M, mean epr -14.58, run loss 34.55
time 04h 21m 43s, episodes 135357, frames 20.2M, mean epr -14.55, run loss 43.14
time 04h 22m 43s, episodes 135876, frames 20.3M, mean epr -14.41, run loss 42.43
time 04h 23m 43s, episodes 136387, frames 20.3M, mean epr -14.64, run loss 44.23
time 04h 24m 43s, episodes 136902, frames 20.4M, mean epr -14.58, run loss 36.45
time 04h 25m 45s, episodes 137435, frames 20.5M, mean epr -14.61, run loss 46.53
time 04h 26m 45s, episodes 137952, frames 20.6M, mean epr -14.66, run loss 37.24
time 04h 27m 47s, episodes 138488, frames 20.6M, mean epr -14.67, run loss 41.01
time 04h 28m 47s, episodes 139002, frames 20.7M, mean epr -14.63, run loss 40.75
time 04h 29m 47s, episodes 139526, frames 20.8M, mean epr -14.45, run loss 37.54
time 04h 30m 47s, episodes 140036, frames 20.9M, mean epr -14.61, run loss 38.78
time 04h 31m 48s, episodes 140561, frames 21.0M, mean epr -14.65, run loss 54.43
time 04h 32m 48s, episodes 141073, frames 21.0M, mean epr -14.64, run loss 48.42
time 04h 33m 48s, episodes 141590, frames 21.1M, mean epr -14.47, run loss 37.78
time 04h 34m 48s, episodes 142107, frames 21.2M, mean epr -14.48, run loss 44.06
time 04h 35m 48s, episodes 142629, frames 21.3M, mean epr -14.54, run loss 50.62
time 04h 36m 50s, episodes 143164, frames 21.3M, mean epr -14.58, run loss 27.65
time 04h 37m 50s, episodes 143687, frames 21.4M, mean epr -14.45, run loss 29.58
time 04h 38m 50s, episodes 144200, frames 21.5M, mean epr -14.30, run loss 25.58
time 04h 39m 50s, episodes 144720, frames 21.6M, mean epr -14.64, run loss 14.65
time 04h 40m 50s, episodes 145226, frames 21.6M, mean epr -14.33, run loss 21.18
time 04h 41m 51s, episodes 145740, frames 21.7M, mean epr -14.50, run loss 24.72
time 04h 42m 51s, episodes 146259, frames 21.8M, mean epr -14.59, run loss 38.81
time 04h 43m 51s, episodes 146766, frames 21.9M, mean epr -14.57, run loss 52.51
time 04h 44m 51s, episodes 147290, frames 22.0M, mean epr -14.57, run loss 55.51

	22M frames: saved model

time 04h 45m 52s, episodes 147813, frames 22.0M, mean epr -14.56, run loss 47.50
time 04h 46m 52s, episodes 148330, frames 22.1M, mean epr -14.50, run loss 45.00
time 04h 47m 52s, episodes 148848, frames 22.2M, mean epr -14.51, run loss 46.59
time 04h 48m 52s, episodes 149366, frames 22.3M, mean epr -14.42, run loss 54.71
time 04h 49m 52s, episodes 149882, frames 22.3M, mean epr -14.46, run loss 46.85
time 04h 50m 52s, episodes 150399, frames 22.4M, mean epr -14.48, run loss 47.53
time 04h 51m 52s, episodes 150910, frames 22.5M, mean epr -14.63, run loss 35.07
time 04h 52m 52s, episodes 151419, frames 22.6M, mean epr -14.63, run loss 50.18
time 04h 53m 52s, episodes 151937, frames 22.6M, mean epr -14.55, run loss 50.36
time 04h 54m 52s, episodes 152460, frames 22.7M, mean epr -14.61, run loss 51.00
time 04h 55m 52s, episodes 152969, frames 22.8M, mean epr -14.68, run loss 61.87
time 04h 56m 54s, episodes 153498, frames 22.9M, mean epr -14.43, run loss 52.72
time 04h 57m 54s, episodes 154014, frames 23.0M, mean epr -14.55, run loss 40.28
