
time 01h 37m 32s, episodes 7011, frames 0.2M, mean epr 1.45, run loss 242.18, shares of one box (0.91), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 38m 32s, episodes 7082, frames 0.2M, mean epr 1.86, run loss 273.29, shares of one box (0.91), two boxes (0.67) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 39m 36s, episodes 7158, frames 0.2M, mean epr 1.78, run loss 283.91, shares of one box (0.92), two boxes (0.65) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 40m 36s, episodes 7230, frames 0.2M, mean epr 1.87, run loss 262.61, shares of one box (0.93), two boxes (0.70) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 41m 36s, episodes 7297, frames 0.2M, mean epr 1.57, run loss 260.09, shares of one box (0.96), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 42m 37s, episodes 7366, frames 0.2M, mean epr 1.12, run loss 254.29, shares of one box (0.92), two boxes (0.61) and three boxes(0.25) pushed on target, difficulty: 4.0
time 01h 43m 37s, episodes 7438, frames 0.2M, mean epr 1.41, run loss 253.98, shares of one box (0.94), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 44m 39s, episodes 7512, frames 0.2M, mean epr 1.43, run loss 237.13, shares of one box (0.92), two boxes (0.61) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 45m 39s, episodes 7581, frames 0.2M, mean epr 1.60, run loss 272.19, shares of one box (0.94), two boxes (0.69) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 46m 41s, episodes 7654, frames 0.2M, mean epr 1.93, run loss 277.56, shares of one box (0.91), two boxes (0.69) and three boxes(0.31) pushed on target, difficulty: 4.0
time 01h 47m 43s, episodes 7730, frames 0.2M, mean epr 1.89, run loss 281.63, shares of one box (0.91), two boxes (0.64) and three boxes(0.31) pushed on target, difficulty: 4.0
time 01h 48m 43s, episodes 7799, frames 0.2M, mean epr 1.53, run loss 266.51, shares of one box (0.89), two boxes (0.66) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 49m 43s, episodes 7869, frames 0.2M, mean epr 1.75, run loss 262.48, shares of one box (0.90), two boxes (0.67) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 50m 45s, episodes 7942, frames 0.2M, mean epr 1.65, run loss 277.47, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 51m 48s, episodes 8016, frames 0.2M, mean epr 1.11, run loss 240.15, shares of one box (0.90), two boxes (0.59) and three boxes(0.25) pushed on target, difficulty: 4.0
time 01h 52m 53s, episodes 8092, frames 0.3M, mean epr 1.78, run loss 272.94, shares of one box (0.90), two boxes (0.63) and three boxes(0.31) pushed on target, difficulty: 4.0
time 01h 53m 54s, episodes 8163, frames 0.3M, mean epr 1.32, run loss 247.89, shares of one box (0.89), two boxes (0.62) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 54m 59s, episodes 8237, frames 0.3M, mean epr 1.48, run loss 286.96, shares of one box (0.88), two boxes (0.62) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 55m 59s, episodes 8308, frames 0.3M, mean epr 1.49, run loss 258.18, shares of one box (0.88), two boxes (0.59) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 56m 59s, episodes 8378, frames 0.3M, mean epr 1.44, run loss 242.96, shares of one box (0.90), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 57m 59s, episodes 8451, frames 0.3M, mean epr 1.65, run loss 250.99, shares of one box (0.88), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 59m 03s, episodes 8531, frames 0.3M, mean epr 2.44, run loss 277.65, shares of one box (0.92), two boxes (0.67) and three boxes(0.34) pushed on target, difficulty: 4.0
time 02h 00m 04s, episodes 8605, frames 0.3M, mean epr 2.43, run loss 315.75, shares of one box (0.92), two boxes (0.70) and three boxes(0.34) pushed on target, difficulty: 4.0
time 02h 01m 05s, episodes 8682, frames 0.3M, mean epr 1.57, run loss 293.39, shares of one box (0.88), two boxes (0.63) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 02m 08s, episodes 8765, frames 0.3M, mean epr 1.57, run loss 273.95, shares of one box (0.87), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 03m 08s, episodes 8843, frames 0.3M, mean epr 1.20, run loss 256.28, shares of one box (0.88), two boxes (0.61) and three boxes(0.26) pushed on target, difficulty: 4.0
time 02h 04m 08s, episodes 8919, frames 0.3M, mean epr 1.38, run loss 250.70, shares of one box (0.88), two boxes (0.62) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 05m 08s, episodes 9002, frames 0.3M, mean epr 1.85, run loss 292.27, shares of one box (0.88), two boxes (0.65) and three boxes(0.31) pushed on target, difficulty: 4.0
time 02h 06m 12s, episodes 9084, frames 0.3M, mean epr 1.33, run loss 273.34, shares of one box (0.89), two boxes (0.59) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 07m 12s, episodes 9160, frames 0.3M, mean epr 1.50, run loss 287.50, shares of one box (0.90), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 08m 13s, episodes 9241, frames 0.3M, mean epr 0.90, run loss 227.17, shares of one box (0.89), two boxes (0.58) and three boxes(0.24) pushed on target, difficulty: 4.0
time 02h 09m 14s, episodes 9318, frames 0.3M, mean epr 0.27, run loss 195.33, shares of one box (0.90), two boxes (0.54) and three boxes(0.19) pushed on target, difficulty: 4.0
time 02h 10m 18s, episodes 9406, frames 0.3M, mean epr 0.99, run loss 219.39, shares of one box (0.94), two boxes (0.61) and three boxes(0.24) pushed on target, difficulty: 4.0
time 02h 11m 22s, episodes 9488, frames 0.3M, mean epr 1.16, run loss 241.01, shares of one box (0.95), two boxes (0.65) and three boxes(0.25) pushed on target, difficulty: 4.0
time 02h 12m 26s, episodes 9576, frames 0.3M, mean epr 1.45, run loss 258.19, shares of one box (0.91), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 13m 27s, episodes 9659, frames 0.3M, mean epr 1.91, run loss 271.91, shares of one box (0.93), two boxes (0.75) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 14m 32s, episodes 9745, frames 0.3M, mean epr 1.58, run loss 250.63, shares of one box (0.88), two boxes (0.67) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 15m 32s, episodes 9827, frames 0.3M, mean epr 1.31, run loss 259.32, shares of one box (0.89), two boxes (0.62) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 16m 33s, episodes 9907, frames 0.3M, mean epr 1.09, run loss 228.75, shares of one box (0.93), two boxes (0.64) and three boxes(0.25) pushed on target, difficulty: 4.0
time 02h 17m 38s, episodes 9988, frames 0.3M, mean epr 0.70, run loss 212.34, shares of one box (0.89), two boxes (0.64) and three boxes(0.22) pushed on target, difficulty: 4.0
time 02h 18m 38s, episodes 10069, frames 0.3M, mean epr 1.12, run loss 239.32, shares of one box (0.91), two boxes (0.65) and three boxes(0.25) pushed on target, difficulty: 4.0
time 02h 19m 41s, episodes 10154, frames 0.3M, mean epr 1.38, run loss 271.66, shares of one box (0.90), two boxes (0.65) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 20m 41s, episodes 10234, frames 0.3M, mean epr 1.69, run loss 254.77, shares of one box (0.94), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 21m 42s, episodes 10321, frames 0.3M, mean epr 1.90, run loss 298.79, shares of one box (0.93), two boxes (0.64) and three boxes(0.31) pushed on target, difficulty: 4.0
time 02h 22m 44s, episodes 10405, frames 0.3M, mean epr 2.09, run loss 287.87, shares of one box (0.95), two boxes (0.64) and three boxes(0.32) pushed on target, difficulty: 4.0
time 02h 23m 49s, episodes 10492, frames 0.3M, mean epr 1.26, run loss 249.00, shares of one box (0.90), two boxes (0.57) and three boxes(0.26) pushed on target, difficulty: 4.0
time 02h 24m 49s, episodes 10567, frames 0.3M, mean epr 1.24, run loss 243.95, shares of one box (0.87), two boxes (0.59) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 25m 49s, episodes 10647, frames 0.3M, mean epr 1.80, run loss 313.19, shares of one box (0.89), two boxes (0.69) and three boxes(0.31) pushed on target, difficulty: 4.0
time 02h 26m 49s, episodes 10727, frames 0.3M, mean epr 1.50, run loss 264.77, shares of one box (0.90), two boxes (0.67) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 27m 49s, episodes 10806, frames 0.3M, mean epr 1.37, run loss 255.80, shares of one box (0.91), two boxes (0.66) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 28m 51s, episodes 10895, frames 0.3M, mean epr 2.06, run loss 266.69, shares of one box (0.93), two boxes (0.72) and three boxes(0.31) pushed on target, difficulty: 4.0
time 02h 29m 55s, episodes 10984, frames 0.3M, mean epr 2.14, run loss 301.40, shares of one box (0.92), two boxes (0.69) and three boxes(0.32) pushed on target, difficulty: 4.0
time 02h 30m 59s, episodes 11068, frames 0.3M, mean epr 1.20, run loss 243.28, shares of one box (0.89), two boxes (0.67) and three boxes(0.25) pushed on target, difficulty: 4.0
time 02h 32m 00s, episodes 11148, frames 0.3M, mean epr 1.57, run loss 249.33, shares of one box (0.89), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
